polygon,polygon_type,label
JEMBER_SUCI,DESA,NDEZNET_DESAQ2
BOYOLALI_BANYUSRI,DESA,NDEZNET_DESAQ2
KOTA SURAKARTA_KEL. TIPES,DESA,NDEZNET_DESAQ2
KOTA SURAKARTA_KEL. PANULARAN,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_KASANG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_LUBUK PANDAN,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_SICINCIN,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_LIMAU PURUIK,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_BATANG KABUNG,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_KAJAI,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_KOTO MARAPAK,DESA,NDEZNET_DESAQ2
KARANGANYAR_SUMBEREJO,DESA,NDEZNET_DESAQ2
KARANGANYAR_KUTO,DESA,NDEZNET_DESAQ2
KARANGANYAR_SURUHKALANG,DESA,NDEZNET_DESAQ2
KARANGANYAR_DOPLANG,DESA,NDEZNET_DESAQ2
WONOGIRI_KEL. PURWANTORO,DESA,NDEZNET_DESAQ2
WONOGIRI_NGADIROJO LOR,DESA,NDEZNET_DESAQ2
WONOGIRI_PURWOSARI,DESA,NDEZNET_DESAQ2
WONOGIRI_TALUNOMBO,DESA,NDEZNET_DESAQ2
SUKOHARJO_PABELAN,DESA,NDEZNET_DESAQ2
SUKOHARJO_MAYANG,DESA,NDEZNET_DESAQ2
SUKOHARJO_BLIMBING,DESA,NDEZNET_DESAQ2
SUKOHARJO_SANGGUNG,DESA,NDEZNET_DESAQ2
SUKOHARJO_KEL. KRIWEN,DESA,NDEZNET_DESAQ2
KLATEN_KRECEK,DESA,NDEZNET_DESAQ2
KLATEN_GUNTING,DESA,NDEZNET_DESAQ2
KLATEN_WANGLU,DESA,NDEZNET_DESAQ2
KLATEN_KEBONDALEM KIDUL,DESA,NDEZNET_DESAQ2
BOYOLALI_SRANTEN,DESA,NDEZNET_DESAQ2
BOYOLALI_POTRONAYAN,DESA,NDEZNET_DESAQ2
BOYOLALI_DIBAL,DESA,NDEZNET_DESAQ2
BOYOLALI_BATAN,DESA,NDEZNET_DESAQ2
BOYOLALI_BUTUH,DESA,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. BUMI KEDAMAIAN,DESA,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. TANJUNGGADING,DESA,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. SAWAH BREBES,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_WAY HUI,DESA,NDEZNET_DESAQ2
