polygon,polygon_type,label
JEMBER_SUCI,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_KASANG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_LUBUK PANDAN,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_SICINCIN,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_LIMAU PURUIK,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_BATANG KABUNG,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_KAJAI,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_KOTO MARAPAK,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. BUMI KEDAMAIAN,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. TANJUNGGADING,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. SAWAH BREBES,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_WAY HUI,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANJAR NEGERI,Desa,NDEZNET_DESAQ2
NGAWI_SRIWEDARI,Desa,NDEZNET_DESAQ2
NGAWI_KARANGBANYU,Desa,NDEZNET_DESAQ2
NGAWI_TEGUHAN,Desa,NDEZNET_DESAQ2
NGAWI_KEDUNGPRAHU,Desa,NDEZNET_DESAQ2
NGAWI_SUKOWIYONO,Desa,NDEZNET_DESAQ2
NGAWI_GANDRI,Desa,NDEZNET_DESAQ2
NGAWI_SIMO,Desa,NDEZNET_DESAQ2
NGAWI_WIDODAREN,Desa,NDEZNET_DESAQ2
NGAWI_TEPAS,Desa,NDEZNET_DESAQ2
NGAWI_MAJASEM,Desa,NDEZNET_DESAQ2
NGAWI_SOCO,Desa,NDEZNET_DESAQ2
NGAWI_WAKAH,Desa,NDEZNET_DESAQ2
NGAWI_SINE,Desa,NDEZNET_DESAQ2
MAGETAN_KARANGMOJO,Desa,NDEZNET_DESAQ2
MAGETAN_JUNGKE,Desa,NDEZNET_DESAQ2
MAGETAN_KEL. LEMBEYAN KULON,Desa,NDEZNET_DESAQ2
MADIUN_DEMPELAN,Desa,NDEZNET_DESAQ2
MADIUN_KUWU,Desa,NDEZNET_DESAQ2
MADIUN_BUDURAN,Desa,NDEZNET_DESAQ2
MADIUN_SUMBERGANDU,Desa,NDEZNET_DESAQ2
MADIUN_KEDUNGREJO,Desa,NDEZNET_DESAQ2
MADIUN_BONGSOPOTRO,Desa,NDEZNET_DESAQ2
MADIUN_NGEPEH,Desa,NDEZNET_DESAQ2
MADIUN_TAMBAKMAS,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_SUNGAI BULUAH BARAT,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_SUNGAI BULUAH UTARA,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_KAMPUANG TANJUANG KOTO MAMBANG SUNGAI,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_BATU KALANG UTARA,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_III KOTO AUR MALINTANG SELATAN,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_BALAI BAIAK MALAI III KOTO,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. CAMPANG JAYA,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. NUSANTARA PERMAI,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. KORPRI RAYA,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. KORPRI JAYA,Desa,NDEZNET_DESAQ2
